Trial,Session ,False trials Tydyy,False trials Uulaa,False trials ses1 TU,Performance ses1 Tydyy,Performance ses1 Uulaa,Performance ses1 TU ,Session,False trials Tydyy,False trials Uulaa,False trials ses2 TU,Performance ses2 Tydyy,Performance ses2 Uulaa,Performance ses2 TU ,Session 3,False Trials ses3 Tydyy,False trials ses3 Uulaa,False trials ses3 TU,Performance ses3 Tydyy,Performance ses3 Uulaa,Performance ses3 TU
Sing from memory ,1,3,2,5,90,93,92,2,26,30,56,100,0,50,3,0,0,0,100,100,100
Sing from memory ,1,30,29,59,0,3,2,2,0,27,27,100,10,55,3,0,0,0,100,100,100
Sing from memory ,1,0,1,1,100,97,98,2,0,0,0,100,100,100,3,0,0,0,100,100,100
Sing from memory ,1,0,30,30,100,0,50,2,0,0,0,100,100,100,3,0,0,0,100,100,100
Sing from memory ,1,0,0,0,100,100,100,2,0,0,0,100,100,100,3,0,0,0,100,100,100
Sing from memory ,1,0,0,0,100,100,100,2,0,0,0,100,100,100,3,0,0,0,100,100,100
Sing from memory ,1,0,0,0,100,100,100,2,0,0,0,100,100,100,3,0,0,0,100,100,100
Sing from memory ,1,0,0,0,100,100,100,2,0,0,0,100,100,100,3,0,0,0,100,100,100
Sing from memory ,1,0,0,0,100,100,100,2,0,0,0,100,100,100,3,0,0,0,100,100,100
Sing from memory ,1,0,0,0,100,100,100,2,0,0,0,100,100,100,3,0,0,0,100,100,100
Sing from memory ,1,0,0,0,100,100,100,2,0,0,0,100,100,100,3,0,0,0,100,100,100
Sing from memory ,1,0,0,0,100,100,100,2,0,0,0,100,100,100,3,0,0,0,100,100,100
Sing from memory ,1,0,0,0,100,100,100,2,0,0,0,100,100,100,3,0,0,0,100,100,100
